Crash ID,County,Community,Primary Road,Intersecting Road,Date,Time,Type,Level,Crash Rpt.
00-195729,Hennepin,Minneapolis,Bryant Av S,Lake St W,2000/06/30,1215,Bicycle,Possible Injury (C),
00-195765,Hennepin,Minneapolis,31st St W,Grand Av S,2000/06/30,1327,Bicycle,Possible Injury (C),
00-197079,Hennepin,Minneapolis,42nd Av S,46th St E,2000/07/01,1150,Bicycle,Property Damage Only,
00-197609,Hennepin,Minneapolis,18th Av S,26th St E,2000/07/01,2055,Bicycle,Possible Injury (C),
00-198405,Hennepin,Minneapolis,28th St W,Pillsbury Av S,2000/07/02,1535,Bicycle,Possible Injury (C),
00-198440,Hennepin,Minneapolis,4th St N,33rd Av N,2000/07/02,1630,Bicycle,Possible Injury (C),
00-201015,Hennepin,Minneapolis,5th St S,Hennepin Av S,2000/07/04,2230,Bicycle,Possible Injury (C),
00-202034,Hennepin,Minneapolis,27th St W,Lyndale Av S,2000/07/05,1900,Bicycle,Possible Injury (C),
00-202695,Hennepin,Minneapolis,21st Av S,Franklin Av E,2000/07/06,820,Bicycle,Possible Injury (C),
00-203060,Hennepin,Minneapolis,38th St E,Chicago Av S,2000/07/06,1615,Bicycle,Possible Injury (C),
00-204205,Hennepin,Minneapolis,25th St E,Bloomington Av S,2000/07/07,1430,Bicycle,Possible Injury (C),
00-207048,Hennepin,Minneapolis,1st Av S,42nd St E,2000/07/09,1920,Bicycle,Possible Injury (C),
00-207948,Hennepin,Minneapolis,33rd St E,Cedar Av S,2000/07/10,1532,Bicycle,Possible Injury (C),
00-207985,Hennepin,Minneapolis,5th Av S,28th St E,2000/07/10,1635,Bicycle,Possible Injury (C),
00-210444,Hennepin,Minneapolis,26th St W,Blaisdell Av S,2000/07/12,1720,Bicycle,Possible Injury (C),
00-212827,Hennepin,Minneapolis,34th Av NE,Central Av NE,2000/07/13,1905,Bicycle,Possible Injury (C),
00-216592,Hennepin,Minneapolis,32nd St E,Hiawatha Av S,2000/07/16,2025,Bicycle,Possible Injury (C),
00-217226,Hennepin,Minneapolis,1st Av S,46th St E,2000/07/17,1147,Bicycle,Possible Injury (C),
00-217600,Hennepin,Minneapolis,30th Av N,Emerson Av N,2000/07/17,1916,Bicycle,Possible Injury (C),
00-217694,Hennepin,Minneapolis,49th Av N,Osseo Road N,2000/07/17,2051,Bicycle,Possible Injury (C),
00-219175,Hennepin,Minneapolis,7th St S,Portland Av S,2000/07/19,730,Bicycle,Possible Injury (C),
00-220549,Hennepin,Minneapolis,West Broadway Av N,Fremont Av N,2000/07/20,1215,Bicycle,Possible Injury (C),
00-221525,Hennepin,Minneapolis,Lake St E,Minnehaha Av S,2000/07/21,1025,Bicycle,Possible Injury (C),
00-222158,Hennepin,Minneapolis,Emerson Av N,Plymouth Av N,2000/07/21,1900,Bicycle,Possible Injury (C),
00-224048,Hennepin,Minneapolis,26th St E,Cedar Av S,2000/07/23,1140,Bicycle,Possible Injury (C),
00-225234,Hennepin,Minneapolis,4th St NE,22nd Av NE,2000/07/24,1620,Bicycle,Property Damage Only,
00-225479,Hennepin,Minneapolis,40th Av N,Bryant Av N,2000/07/24,2020,Bicycle,Possible Injury (C),
00-225728,Hennepin,Minneapolis,28th St W,Hennepin Av S,2000/07/24,2345,Bicycle,Possible Injury (C),
00-226196,Hennepin,Minneapolis,38th St W,Drew Av S,2000/07/25,1311,Bicycle,Possible Injury (C),
00-226447,Hennepin,Minneapolis,50th St W,Logan Av S,2000/07/25,1810,Bicycle,Possible Injury (C),
00-226611,Hennepin,Minneapolis,28th St E,Chicago Av S,2000/07/25,2045,Bicycle,Possible Injury (C),
00-227338,Hennepin,Minneapolis,2nd Av S,18th St E,2000/07/26,1530,Bicycle,Possible Injury (C),
00-228213,Hennepin,Minneapolis,28th St W,Lyndale Av S,2000/07/27,956,Bicycle,Possible Injury (C),
00-228535,Hennepin,Minneapolis,Penn Av N,Plymouth Av N,2000/07/27,1710,Bicycle,Property Damage Only,
00-228614,Hennepin,Minneapolis,29th St W,Blaisdell Av S,2000/07/27,1825,Bicycle,Possible Injury (C),
00-228730,Hennepin,Minneapolis,8th St S,11th Av S,2000/07/27,2100,Bicycle,Property Damage Only,
00-230902,Hennepin,Minneapolis,Diamond Lake Road E,Stevens Av S,2000/07/29,1845,Bicycle,Possible Injury (C),
00-231027,Hennepin,Minneapolis,4th St N,36th Av N,2000/07/29,2059,Bicycle,Possible Injury (C),
00-231848,Hennepin,Minneapolis,Aldrich Av N,West Broadway Av N,2000/07/30,1600,Bicycle,Possible Injury (C),
00-232512,Hennepin,Minneapolis,2nd St SE,Hennepin Av E,2000/07/24,2245,Bicycle,Property Damage Only,
00-232882,Hennepin,Minneapolis,Columbus Av S,Franklin Av E,2000/07/31,1630,Bicycle,Possible Injury (C),
00-233123,Hennepin,Minneapolis,27th Av N,Colfax Av N,2000/07/31,2046,Bicycle,Possible Injury (C),
00-233658,Hennepin,Minneapolis,27th St W,Lyndale Av S,2000/08/01,915,Bicycle,Possible Injury (C),
00-233824,Hennepin,Minneapolis,26th St W,Nicollet Av S,2000/08/01,1218,Bicycle,Possible Injury (C),
00-233893,Hennepin,Minneapolis,28th St W,Hennepin Av S,2000/08/01,1325,Bicycle,Possible Injury (C),
00-235191,Hennepin,Minneapolis,3rd Av S,7th St S,2000/08/02,1440,Bicycle,Possible Injury (C),
00-236217,Hennepin,Minneapolis,26th St E,Portland Av S,2000/08/03,850,Bicycle,Property Damage Only,
00-236470,Hennepin,Minneapolis,Bloomington Av S,Lake St E,2000/08/03,1340,Bicycle,Property Damage Only,
